sessionId,userId,duration,engagementScore,bounced,bounceProb,pages,clicks,avgScrollDepth,startTime,deviceType
efb8161b-05fe-4ca1-b665-9a6969172727,4228b88c-abd6-4a06-81cb-8f67a5b76593,322,8.124166799948771,False,0.18758332000512296,3,13,83,2026-04-15 20:53:02.720000,mobile
64b33187-e4fb-415e-b020-dd5bab2b923d,6fee4230-1cb6-49b5-8bbd-a30092d2b7ce,185,4.65176298815061,False,0.534823701184939,1,4,44,2026-04-18 18:53:02.724000,mobile
8557c401-518b-4d0b-a78d-76402e108c29,1a7d9312-d8c1-4256-84b7-beb7110c31a7,769,8.730490595201568,False,0.12695094047984326,3,5,73,2026-04-16 21:53:02.727000,mobile
2382a765-c564-4941-94d1-585d3eaa7b38,eb309c5b-7f45-45bd-981f-b7edcf72536f,85,5.5752546849594395,False,0.442474531504056,2,3,48,2026-04-20 14:53:02.729000,desktop
fa6e1be8-0116-4257-993d-a3be980b3e85,90bd2bed-8f9d-48fb-836c-1c8518bef7b6,56,1.2841545143401554,True,0.8715845485659846,2,2,29,2026-04-17 21:53:02.730000,desktop
2c5a7c32-c2a1-437c-8567-b235c7202cf8,15ad6841-3c4f-4560-93fa-b3a898ef7b66,676,7.37121724544998,False,0.262878275455002,1,13,100,2026-04-15 09:53:02.736000,desktop
3c1d723f-55d8-40c6-8d7b-b792bf9582a2,62200512-80c3-4315-9220-d28e66a4391b,57,1.6410917459853973,True,0.8358908254014603,4,2,13,2026-04-16 09:53:02.738000,mobile
363fcf98-4e36-4bcf-a990-7e709f78ccfd,a3ba62d1-e1ef-45dd-b73a-88799f7ae945,143,5.54900424766357,False,0.445099575233643,2,1,41,2026-04-17 09:53:02.739000,desktop
4fb5bbf8-00dd-4ad2-8681-0ec22bb52f29,e1ede838-4dd6-4ee2-b29a-53c5b3b1b733,55,2.528437305995819,True,0.7471562694004181,1,0,36,2026-04-15 00:53:02.741000,desktop
71c3ff6c-6063-49f4-bf2d-989ca123e0c9,7d275d1d-0364-4c00-87fc-49d056ddcd00,189,5.014745020593981,False,0.4985254979406019,4,5,49,2026-04-15 08:53:02.742000,mobile
224fbdaf-afd4-4aaf-a017-11bf3dd5ec37,fd3d53d1-14c4-4e26-86d5-3707391f27cd,13,2.6655486486996853,True,0.7334451351300315,3,0,3,2026-04-14 22:53:02.744000,mobile
80870876-38a5-424a-8dc4-ecdfa2d69988,1c244d5e-7998-43f5-8a9d-8a7402fcf12f,1074,7.2619537970101415,False,0.2738046202989859,2,7,100,2026-04-15 01:53:02.745000,desktop
